# { Experiment : TSP; Iterations : 20000; Runtime (ms) : 7359; }
# { HyperParameters : { Elites: 25.00%; Mutants: 15.00%; Elite Bias: 75.00% } }
# { Population : PopulationCount 96; InitialFitness : 108447.00; FinalFitness : 22878.00 }
# { DecodedChromosome : [ <5>, <34>, <41>, <3>, <22>, <16>, <1>, <9>, <8>, <38>, <31>, <44>, <18>, <7>, <28>, <6>, <37>, <19>, <17>, <27>, <43>, <30>, <36>, <46>, <33>, <15>, <40>, <12>, <20>, <11>, <23>, <47>, <21>, <32>, <24>, <10>, <45>, <35>, <4>, <26>, <42>, <2>, <29>, <14>, <13>, <25>, <39>, <48> ] }
Iteration, Fitness, Time
0, 104719.00, 27
1, 99802.00, 0
2, 96232.00, 0
3, 96232.00, 0
4, 92171.00, 0
5, 92171.00, 2
6, 92171.00, 0
7, 91546.00, 0
8, 89796.00, 0
9, 80456.00, 0
10, 80456.00, 0
11, 80456.00, 0
12, 80456.00, 0
13, 80456.00, 1
14, 80456.00, 0
15, 78400.00, 1
16, 78215.00, 4
17, 78215.00, 0
18, 77570.00, 1
19, 74959.00, 0
20, 72293.00, 0
21, 72293.00, 0
22, 72293.00, 0
23, 70657.00, 0
24, 68974.00, 1
25, 68974.00, 0
26, 65740.00, 0
27, 65740.00, 0
28, 65074.00, 0
29, 63874.00, 0
30, 61450.00, 0
31, 61450.00, 0
32, 61450.00, 0
33, 60173.00, 0
34, 57812.00, 0
35, 57812.00, 1
36, 57812.00, 0
37, 57754.00, 0
38, 55100.00, 0
39, 55100.00, 0
40, 54415.00, 0
41, 52442.00, 0
42, 52442.00, 0
43, 52442.00, 0
44, 52442.00, 0
45, 51895.00, 0
46, 51895.00, 0
47, 51692.00, 1
48, 51551.00, 0
49, 51451.00, 0
50, 51372.00, 0
51, 51372.00, 0
52, 51372.00, 0
53, 51358.00, 0
54, 51105.00, 0
55, 50982.00, 1
56, 50982.00, 0
57, 50982.00, 0
58, 50982.00, 0
59, 50924.00, 0
60, 50924.00, 0
61, 50924.00, 0
62, 50850.00, 0
63, 49138.00, 0
64, 49138.00, 0
65, 48826.00, 0
66, 48826.00, 1
67, 48256.00, 0
68, 48131.00, 0
69, 48131.00, 0
70, 48131.00, 0
71, 48131.00, 0
72, 47465.00, 0
73, 47465.00, 0
74, 47465.00, 0
75, 47365.00, 0
76, 47295.00, 0
77, 47295.00, 0
78, 47295.00, 1
79, 47295.00, 0
80, 47240.00, 0
81, 47240.00, 0
82, 47006.00, 0
83, 47006.00, 0
84, 47006.00, 0
85, 46881.00, 1
86, 46881.00, 0
87, 46881.00, 0
88, 46881.00, 0
89, 46881.00, 0
90, 46881.00, 0
91, 46881.00, 0
92, 46881.00, 0
93, 46803.00, 0
94, 46803.00, 0
95, 46803.00, 0
96, 46803.00, 0
97, 46803.00, 1
98, 46803.00, 0
99, 46803.00, 0
100, 46803.00, 0
101, 46803.00, 0
102, 46803.00, 0
103, 46151.00, 0
104, 46151.00, 1
105, 46151.00, 0
106, 46151.00, 0
107, 46138.00, 0
108, 46138.00, 0
109, 46138.00, 0
110, 46138.00, 0
111, 46138.00, 0
112, 46138.00, 0
113, 45994.00, 0
114, 45994.00, 0
115, 45994.00, 0
116, 45994.00, 3
117, 45994.00, 0
118, 45994.00, 0
119, 45917.00, 0
120, 45917.00, 0
121, 45917.00, 0
122, 45917.00, 0
123, 45917.00, 0
124, 45917.00, 1
125, 45917.00, 0
126, 45917.00, 0
127, 45917.00, 0
128, 45917.00, 0
129, 45886.00, 0
130, 45886.00, 0
131, 45886.00, 0
132, 45886.00, 0
133, 45886.00, 0
134, 45886.00, 1
135, 45886.00, 0
136, 45886.00, 0
137, 44308.00, 0
138, 44308.00, 0
139, 44308.00, 0
140, 44308.00, 0
141, 43797.00, 0
142, 43797.00, 0
143, 43797.00, 0
144, 43797.00, 0
145, 43797.00, 0
146, 43797.00, 1
147, 43797.00, 0
148, 43797.00, 0
149, 43797.00, 0
150, 43797.00, 0
151, 43780.00, 0
152, 43780.00, 0
153, 43780.00, 0
154, 43780.00, 1
155, 43780.00, 0
156, 43780.00, 0
157, 43780.00, 0
158, 43780.00, 0
159, 43738.00, 0
160, 42881.00, 0
161, 42881.00, 1
162, 42881.00, 0
163, 42881.00, 0
164, 42881.00, 0
165, 42834.00, 0
166, 42826.00, 0
167, 42826.00, 0
168, 42826.00, 0
169, 42779.00, 0
170, 42779.00, 0
171, 42779.00, 0
172, 42779.00, 0
173, 42779.00, 1
174, 42779.00, 0
175, 42779.00, 0
176, 42753.00, 0
177, 42753.00, 0
178, 42753.00, 0
179, 42753.00, 0
180, 41571.00, 1
181, 41571.00, 0
182, 41571.00, 0
183, 41571.00, 0
184, 41571.00, 0
185, 41545.00, 0
186, 41545.00, 0
187, 41545.00, 0
188, 41545.00, 0
189, 41545.00, 0
190, 41545.00, 0
191, 41545.00, 0
192, 41545.00, 1
193, 41545.00, 0
194, 41545.00, 0
195, 41356.00, 0
196, 41356.00, 0
197, 41356.00, 0
198, 41356.00, 0
199, 41356.00, 1
200, 41210.00, 0
201, 41210.00, 0
202, 41210.00, 0
203, 41143.00, 0
204, 41143.00, 0
205, 41143.00, 0
206, 41090.00, 0
207, 41090.00, 0
208, 41023.00, 0
209, 41023.00, 0
210, 41023.00, 0
211, 41023.00, 2
212, 41023.00, 0
213, 41023.00, 0
